ID,Name,Slug,Parent,Description,Count,"Thumbnail URL"
519,"Detroit Red Wings",detroit-red-wings-nhl-team,430,"Red Wings",11,
73,"Detroit Red Wings (NHL)",detroit-red-wings,23,"Detroit Red Wings rings and other merchandise",12,
490,"Detroit Tigers",detroit-tigers-mlb-team,412,Tigers,4,
74,"Detroit Tigers (MLB)",detroit-tigers,23,"Detroit Tigers rings and other merchandise",4,
401,"Dirk Nowitzski (NBA)",dirk-nowitzski-nba-finals-championship-rings,29,"Own Dirk Nowitzski’s NBA Finals Championship Ring with the Dallas Mavericka",1,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_8519.jpeg
298,"Drew Brees (NFL)",drew-brees-superbowl-championship-rings,29,"Own Drew Brees’s Superbowl Championship Ring with the New Orleans Saints ",1,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_8520.jpeg
403,"Dwayne Wade (NBA)",dwayne-wade-nba-finals-championship-rings,29,"Own 1 or all 3 of Dwayne Wade's NBA Finals Championship Rings with the Miami Heat",4,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_8521.jpeg
424,"EC Atlantic",nba-eastern-conference-atlantic,24,"Everything Boston Celtics, New York Knicks, Toronto Raptors, Philadelphia 76ers, Brooklyn Nets",29,
430,"EC Atlantic",nhl-eastern-conference-atlantic,26,"Everything Boston Bruins, Detroit Red Wings, Buffalo Sabres, Florida Panthers, Montreal Canadiens, Tampa Bay Lightning, Ottawa Senators, Toronto Maple Leafs",63,
425,"EC Central",nba-eastern-conference-central,24,"Everything Chicago Bulls, Milwaukee Bucks, Detroit Pistons, Cleveland Cavaliers, Indiana Pacers",17,
431,"EC Metropolitan",nhl-eastern-conference-metropolitan,26,"Everything Carolina Hurricanes, New York Rangers, Philadelphia Flyers, Washington Capitals, Pittsburgh Penguins, New Jersey Devils, New York Islanders, Columbus Blue Jackets",26,
426,"EC Southeast",nba-eastern-conference-southeast,24,"Everything Orlando Magic, Charlotte Hornets, Miami Heat, Atlanta Hawks, Washington Wizards",6,
545,"Edmonton Oilers",edmonton-oilers-nhl-team,433,Oilers,7,
75,"Edmonton Oilers (NHL)",edmonton-oilers,23,"Edmonton Oilers rings and other merchandise",7,
240,"Edmonton Pro Teams",edmonton-professional-sports-teams,82,"Championship rings from all the pro teams from NFL, NBA, MLB, NHL in Edmonton",7,
510,"Florida Marlins",florida-marlins-mlb-team,416,Marlins,3,
76,"Florida Marlins (MLB)",florida-marlins,23,"Florida Marlins rings and other merchandise",3,
524,"Florida Panthers",florida-panthers-nhl-team,430,Panthers,3,
77,"Florida Panthers (NHL)",florida-panthers,23,"Florida Panthers rings and other merchandise",3,
388,"Garry Maddox (MLB)",garry-maddox-world-series-championship-rings,29,"Own Garry Maddox’s World Series Championship Rings with the Philadelphia Phillies",2,https://youbethechamp.com.au/wp-content/uploads/2026/02/IMG_8522.jpeg
573,"Golden State Warriors",golden-state-warriors-nba-team,428,Warriors,8,
78,"Golden State Warriors (NBA)",golden-state-warriors,23,"Golden State Warriors rings and other merchandise",8,
